1.000000000000000021e-02,7.848838029366690845e-04,9.502578840162654965e-04
1.748743718592964819e-02,8.898145561341508315e-04,1.090696366796405472e-03
2.497487437185929443e-02,1.022514085248657934e-03,1.272756049574385283e-03
3.246231155778894761e-02,1.195413675407175488e-03,1.517703245467928340e-03
3.994974874371859386e-02,1.429714067716222935e-03,1.864398991493603766e-03
4.743718592964824010e-02,1.764912766777213329e-03,2.392666006033717253e-03
5.492462311557789328e-02,2.284529844548363955e-03,3.298776772571421125e-03
6.241206030150753953e-02,3.204184411244460472e-03,5.249196553735672142e-03
6.989949748743717883e-02,5.335138384054822352e-03,1.372672986978495414e-02
7.738693467336682508e-02,2.024292925372792734e-02,1.388781643651597841e+00
8.487437185929647132e-02,1.381093757649992870e+00,2.030588649823812375e+00
9.236180904522611756e-02,1.866601832967507146e+00,2.345151115560397237e+00
9.984924623115577769e-02,2.120617369657379125e+00,2.516118924599866524e+00
1.073366834170854239e-01,2.264189662402207315e+00,2.606854059518296740e+00
1.148241206030150702e-01,2.343826591408992410e+00,2.648278098912747680e+00
1.223115577889447164e-01,2.383202110340185698e+00,2.657872875040555805e+00
1.297989949748743765e-01,2.396039264736630425e+00,2.646363675516466341e+00
1.372864321608040228e-01,2.390913254466350057e+00,2.620678542147423684e+00
1.447738693467336690e-01,2.373449951476738207e+00,2.585452037791271085e+00
1.522613065326633153e-01,2.347467546577245656e+00,2.543862420917708089e+00
1.597487437185929615e-01,2.315622080607672828e+00,2.498128758151488160e+00
1.672361809045226078e-01,2.279795434542127630e+00,2.449820519591371148e+00
1.747236180904522540e-01,2.241339448874276830e+00,2.400057562683106216e+00
1.822110552763819002e-01,2.201235076700181814e+00,2.349643089233304671e+00
1.896984924623115742e-01,2.160199129677526919e+00,2.299154124509762642e+00
1.971859296482412205e-01,2.118757553909722091e+00,2.249004284918364682e+00
2.046733668341708667e-01,2.077296711646086980e+00,2.199488029369326636e+00
2.121608040201005130e-01,2.036099861954093093e+00,2.150812286676956120e+00
2.196482412060301592e-01,1.995373478067666628e+00,2.103119327038444730e+00
2.271356783919598055e-01,1.955266463919588915e+00,2.056503469555535535e+00
2.346231155778894517e-01,1.915884334199797312e+00,2.011023393813810234e+00
2.421105527638190980e-01,1.877299774552763090e+00,1.966711280387737348e+00
2.495979899497487442e-01,1.839560569427278303e+00,1.923579640566613236e+00
2.570854271356783904e-01,1.802695595621514046e+00,1.881626446956117027e+00
2.645728643216080367e-01,1.766719381124931099e+00,1.840839004615649310e+00
2.720603015075376829e-01,1.731635590853390028e+00,1.801196881895114954e+00
